,0,1,2,3
144,1088_17.mat,40.0,50.0,432
145,1088_32.mat,170.0,30.0,677
146,1088_34.mat,60.0,70.0,472
147,1089_11.mat,80.0,30.0,506
148,1089_33.mat,-60.0,-50.0,232
149,108_12.mat,-170.0,-0.0,28
150,108_18.mat,60.0,70.0,472
151,108_2.mat,-160.0,60.0,53
152,108_27.mat,90.0,-10.0,521
153,108_3.mat,60.0,40.0,469
154,108_36.mat,-120.0,60.0,129
155,108_4.mat,160.0,-20.0,653
156,108_6.mat,-150.0,20.0,68
157,108_9.mat,100.0,40.0,545
158,1092_12.mat,100.0,20.0,543
159,1092_13.mat,-50.0,-70.0,249
160,1092_14.mat,-120.0,10.0,124
161,1092_21.mat,10.0,70.0,377
162,1092_26.mat,-110.0,-60.0,136
163,1092_28.mat,-40.0,-40.0,271
164,1092_39.mat,100.0,20.0,543
165,1095_15.mat,30.0,-10.0,407
166,1098_18.mat,100.0,70.0,548
167,10_1.mat,-90.0,-50.0,175
168,10_10.mat,90.0,30.0,525
169,10_2.mat,120.0,-20.0,577
170,10_5.mat,-70.0,30.0,221
171,1100_11.mat,-80.0,20.0,201
172,1100_20.mat,-30.0,-0.0,294
173,1100_22.mat,100.0,-0.0,541
174,1100_25.mat,-90.0,-50.0,175
175,1102_19.mat,150.0,-40.0,632
176,1102_29.mat,-50.0,-20.0,254
177,1102_38.mat,90.0,50.0,527
178,1104_12.mat,130.0,-30.0,595
179,1104_16.mat,80.0,-40.0,499
180,1104_23.mat,-160.0,-10.0,46
181,1104_24.mat,140.0,-50.0,612
182,1105_13.mat,-100.0,10.0,162
183,1105_17.mat,80.0,-60.0,497
184,1106_14.mat,-170.0,-50.0,23
185,1107_27.mat,100.0,30.0,544
186,110_10.mat,110.0,-40.0,556
187,110_11.mat,-70.0,-20.0,216
188,110_2.mat,60.0,-80.0,457
189,110_22.mat,20.0,-30.0,386
190,110_5.mat,-40.0,-50.0,270
191,1110_15.mat,30.0,-20.0,406
192,1110_30.mat,80.0,-40.0,499
193,1110_37.mat,100.0,20.0,543
194,1113_21.mat,120.0,-30.0,576
195,1116_12.mat,140.0,-10.0,616
196,1116_18.mat,-90.0,50.0,185
197,1116_31.mat,-60.0,40.0,241
198,1116_36.mat,20.0,70.0,396
199,1118_13.mat,60.0,20.0,467
200,1118_26.mat,120.0,40.0,583
201,111_3.mat,60.0,40.0,469
202,111_37.mat,90.0,-10.0,521
203,1120_14.mat,100.0,-0.0,541
204,1120_16.mat,40.0,-40.0,423
205,1120_20.mat,10.0,50.0,375
206,1120_28.mat,130.0,-70.0,591
207,1120_32.mat,160.0,50.0,660
208,1120_35.mat,-150.0,-60.0,60
209,1120_40.mat,90.0,-10.0,521
210,1121_19.mat,130.0,-40.0,594
211,1122_17.mat,-40.0,-70.0,268
212,1122_22.mat,90.0,-10.0,521
213,1122_33.mat,-90.0,30.0,183
214,1122_34.mat,-170.0,60.0,34
215,1125_15.mat,20.0,40.0,393
216,1125_25.mat,80.0,80.0,511
217,1127_23.mat,-110.0,0.0,142
218,1128_12.mat,-40.0,-60.0,269
219,1128_24.mat,-70.0,-10.0,217
220,112_14.mat,-140.0,-40.0,81
221,112_16.mat,-40.0,40.0,279
222,112_2.mat,-110.0,-0.0,142
223,112_28.mat,-110.0,-50.0,137
224,112_4.mat,120.0,40.0,583
225,112_7.mat,100.0,-20.0,539
226,112_8.mat,10.0,-40.0,366
227,1131_13.mat,-60.0,10.0,238
228,1131_29.mat,70.0,10.0,485
229,1131_39.mat,-70.0,30.0,221
230,1134_14.mat,-120.0,30.0,126
231,1134_18.mat,-80.0,20.0,201
232,1134_21.mat,-170.0,-60.0,22
233,1134_27.mat,100.0,-10.0,540
234,1136_16.mat,120.0,60.0,585
235,1139_17.mat,90.0,-50.0,517
236,1140_12.mat,-60.0,-50.0,232
237,1140_15.mat,-20.0,50.0,318
238,1140_19.mat,100.0,-30.0,538
239,1140_20.mat,-110.0,-20.0,140
240,1140_30.mat,80.0,0.0,503
241,1140_38.mat,-40.0,-50.0,270
242,1144_13.mat,-180.0,-50.0,4
243,1144_22.mat,70.0,20.0,486
244,1144_26.mat,-60.0,70.0,244
245,1147_31.mat,80.0,-50.0,498
246,1147_37.mat,100.0,-30.0,538
247,1148_14.mat,-80.0,80.0,207
248,1148_28.mat,-70.0,-20.0,216
249,114_19.mat,0.0,-60.0,345
250,114_2.mat,-100.0,-0.0,161
251,114_3.mat,-140.0,-40.0,81
252,114_38.mat,-60.0,-80.0,229
253,114_6.mat,-160.0,-10.0,46
254,1150_23.mat,-80.0,20.0,201
255,1150_25.mat,100.0,-80.0,533
256,1152_12.mat,30.0,40.0,412
257,1152_16.mat,-70.0,-20.0,216
258,1152_18.mat,30.0,-60.0,402
259,1152_24.mat,-110.0,40.0,146
260,1152_32.mat,-110.0,-40.0,138
261,1152_36.mat,120.0,10.0,580
262,1155_15.mat,-50.0,-70.0,249
263,1155_21.mat,60.0,20.0,467
264,1155_33.mat,100.0,20.0,543
265,1155_35.mat,130.0,10.0,599
266,1156_17.mat,140.0,-30.0,614
267,1156_34.mat,20.0,70.0,396
268,1157_13.mat,120.0,40.0,583
269,1159_19.mat,-120.0,-30.0,120
270,115_23.mat,-120.0,-10.0,122
271,115_5.mat,-60.0,40.0,241
272,1160_20.mat,-180.0,10.0,10
273,1160_29.mat,-90.0,-30.0,177
274,1160_40.mat,-20.0,-90.0,304
275,1161_27.mat,-150.0,70.0,73
276,1162_14.mat,150.0,0.0,636
277,1164_12.mat,-80.0,-20.0,197
278,1166_22.mat,70.0,-30.0,481
279,1168_16.mat,-60.0,50.0,242
280,116_2.mat,-80.0,50.0,204
281,116_29.mat,-60.0,-10.0,236
282,116_4.mat,-180.0,-50.0,4
283,1170_13.mat,-90.0,0.0,180
284,1170_15.mat,-100.0,-50.0,156
285,1170_18.mat,-100.0,20.0,163
286,1170_26.mat,-40.0,70.0,282
287,1170_30.mat,-90.0,-60.0,174
288,1170_39.mat,-80.0,70.0,206
289,1173_17.mat,90.0,10.0,523
290,1173_23.mat,-160.0,-10.0,46
291,1175_25.mat,-70.0,0.0,218
292,1176_12.mat,100.0,-40.0,537
293,1176_14.mat,-110.0,0.0,142
294,1176_21.mat,-40.0,10.0,276
295,1176_24.mat,90.0,50.0,527
296,1176_28.mat,90.0,-50.0,517
297,1178_19.mat,110.0,-50.0,555
298,1178_31.mat,-60.0,-40.0,233
299,1178_38.mat,120.0,-60.0,573
300,117_13.mat,60.0,10.0,466
301,117_3.mat,-160.0,-20.0,45
302,117_39.mat,-120.0,80.0,131
303,117_9.mat,70.0,10.0,485
304,1180_20.mat,-80.0,-30.0,196
305,1183_13.mat,70.0,-10.0,483
306,1184_16.mat,-80.0,50.0,204
307,1184_32.mat,0.0,-60.0,345
308,1184_37.mat,90.0,-80.0,514
309,1185_15.mat,10.0,70.0,377
310,1188_12.mat,150.0,-0.0,636
311,1188_18.mat,-100.0,40.0,165
312,1188_22.mat,-50.0,30.0,259
313,1188_27.mat,-100.0,-30.0,158
314,1188_33.mat,-110.0,40.0,146
315,1188_36.mat,-0.0,-80.0,343
316,1189_29.mat,-30.0,50.0,299
317,118_2.mat,-160.0,-70.0,40
318,1190_14.mat,140.0,-60.0,611
319,1190_17.mat,90.0,20.0,524
320,1190_34.mat,-130.0,20.0,106
321,1190_35.mat,10.0,-70.0,363
322,1196_13.mat,-110.0,-20.0,140
323,1196_23.mat,70.0,0.0,484
324,1196_26.mat,0.0,10.0,352
325,1197_19.mat,-120.0,-40.0,119
326,1197_21.mat,40.0,-20.0,425
327,119_17.mat,-90.0,-50.0,175
328,119_7.mat,50.0,-40.0,442
329,11_1.mat,80.0,-60.0,497
330,11_11.mat,80.0,60.0,509
331,1200_12.mat,-110.0,10.0,143
332,1200_15.mat,-50.0,10.0,257
333,1200_16.mat,20.0,20.0,391
334,1200_20.mat,-130.0,20.0,106
335,1200_24.mat,-150.0,-40.0,62
336,1200_25.mat,0.0,50.0,356
337,1200_30.mat,160.0,-80.0,647
338,1200_40.mat,-60.0,-70.0,230
339,1204_14.mat,100.0,-10.0,540
340,1204_28.mat,-30.0,60.0,300
341,1206_18.mat,-0.0,-50.0,346
342,1207_17.mat,-140.0,40.0,89
343,1209_13.mat,-70.0,-0.0,218
344,1209_31.mat,-90.0,40.0,184
345,1209_39.mat,60.0,20.0,467
346,120_10.mat,-100.0,40.0,165
347,120_12.mat,-140.0,0.0,85
348,120_15.mat,10.0,-20.0,368
349,120_2.mat,-170.0,10.0,29
350,120_20.mat,-40.0,-20.0,273
351,120_24.mat,20.0,20.0,391
352,120_3.mat,160.0,-60.0,649
353,120_30.mat,-30.0,-70.0,287
354,120_4.mat,50.0,60.0,452
355,120_40.mat,140.0,-60.0,611
356,120_5.mat,-90.0,-10.0,179
357,120_6.mat,-60.0,40.0,241
358,120_8.mat,130.0,-10.0,597
359,1210_22.mat,90.0,20.0,524
360,1215_15.mat,-80.0,-30.0,196
361,1215_27.mat,-110.0,-50.0,137
362,1216_16.mat,-100.0,-10.0,160
363,1216_19.mat,100.0,-20.0,539
364,1216_32.mat,-160.0,60.0,53
365,1216_38.mat,-160.0,80.0,55
366,1218_14.mat,90.0,-20.0,520
367,1218_21.mat,70.0,60.0,490
368,1218_29.mat,-40.0,-20.0,273
369,1219_23.mat,-170.0,30.0,31
370,121_11.mat,20.0,-50.0,384
371,1220_20.mat,30.0,20.0,410
372,1221_33.mat,40.0,40.0,431
373,1221_37.mat,-100.0,-30.0,158
374,1222_13.mat,30.0,-40.0,404
375,1222_26.mat,-100.0,-40.0,157
376,1224_17.mat,70.0,50.0,489
377,1224_18.mat,10.0,-40.0,366
378,1224_24.mat,20.0,-70.0,382
379,1224_34.mat,160.0,40.0,659
380,1224_36.mat,-20.0,-60.0,307
381,1225_25.mat,60.0,-60.0,459
382,1225_35.mat,-10.0,-70.0,325
383,122_2.mat,-160.0,-70.0,40
384,1230_15.mat,-20.0,60.0,319
385,1230_30.mat,-60.0,-60.0,231
386,1232_14.mat,140.0,-40.0,613
387,1232_16.mat,-20.0,-10.0,312
388,1232_22.mat,30.0,-70.0,401
389,1232_28.mat,-130.0,50.0,109
390,1235_13.mat,-110.0,30.0,145
391,1235_19.mat,-160.0,20.0,49
392,1239_21.mat,70.0,60.0,490
393,123_3.mat,170.0,60.0,680
394,1240_20.mat,-20.0,50.0,318
395,1240_31.mat,-60.0,-40.0,233
396,1240_40.mat,140.0,-10.0,616
397,1241_17.mat,-110.0,-40.0,138
398,1242_18.mat,-100.0,50.0,166
399,1242_23.mat,-170.0,40.0,32
400,1242_27.mat,-140.0,-10.0,84
401,1245_15.mat,-70.0,-60.0,212
402,1246_14.mat,-90.0,-40.0,176
403,1247_29.mat,10.0,-30.0,367
404,1248_13.mat,-130.0,50.0,109
405,1248_16.mat,-110.0,50.0,147
406,1248_24.mat,40.0,-60.0,421
407,1248_26.mat,130.0,-60.0,592
408,1248_32.mat,-120.0,20.0,125
409,1248_39.mat,110.0,50.0,565
410,124_2.mat,-100.0,30.0,164
411,124_31.mat,-80.0,80.0,207
412,124_4.mat,120.0,50.0,584
413,1250_25.mat,-40.0,-50.0,270
414,1254_19.mat,130.0,-60.0,592
415,1254_22.mat,80.0,0.0,503
416,1254_33.mat,170.0,-70.0,667
417,1254_38.mat,100.0,-40.0,537
418,1258_17.mat,-130.0,30.0,107
419,1258_34.mat,0.0,10.0,352
420,1258_37.mat,-110.0,-60.0,136
421,125_25.mat,-60.0,20.0,239
422,125_5.mat,40.0,30.0,430
423,1260_14.mat,-90.0,-60.0,174
424,1260_15.mat,90.0,60.0,528
425,1260_18.mat,0.0,-60.0,345
426,1260_20.mat,-60.0,-20.0,235
427,1260_21.mat,-140.0,-20.0,83
428,1260_28.mat,-100.0,10.0,162
429,1260_30.mat,-10.0,20.0,334
430,1260_35.mat,-160.0,-50.0,42
431,1260_36.mat,-160.0,-10.0,46
432,1261_13.mat,10.0,50.0,375
433,1264_16.mat,-170.0,80.0,36
434,1265_23.mat,-100.0,-20.0,159
435,1269_27.mat,-180.0,-50.0,4
436,126_14.mat,80.0,-60.0,497
437,126_18.mat,50.0,-80.0,438
438,126_2.mat,-120.0,-20.0,121
439,126_21.mat,80.0,-30.0,500
440,126_3.mat,50.0,-20.0,444
441,126_6.mat,70.0,-20.0,482
442,126_7.mat,80.0,0.0,503
443,126_9.mat,40.0,-10.0,426
444,1271_31.mat,70.0,10.0,485
445,1272_24.mat,-70.0,40.0,222
446,1273_19.mat,110.0,-40.0,556
447,1274_13.mat,120.0,-20.0,577
448,1274_14.mat,-120.0,-0.0,123
449,1274_26.mat,90.0,80.0,530
450,1275_15.mat,70.0,50.0,489
451,1275_17.mat,-180.0,50.0,14
452,1275_25.mat,70.0,-40.0,480
453,1276_22.mat,80.0,40.0,507
454,1276_29.mat,70.0,-40.0,480
455,1278_18.mat,-100.0,60.0,167
456,1280_16.mat,-80.0,70.0,206
457,1280_20.mat,100.0,-50.0,536
458,1280_32.mat,-120.0,20.0,125
459,1280_40.mat,100.0,-40.0,537
460,1281_21.mat,100.0,60.0,547
461,1287_13.mat,-90.0,-20.0,178
462,1287_33.mat,100.0,-50.0,536
463,1287_39.mat,100.0,30.0,544
464,1288_14.mat,110.0,-50.0,555
465,1288_23.mat,140.0,-30.0,614
466,1288_28.mat,140.0,-70.0,610
467,128_16.mat,-10.0,60.0,338
468,128_2.mat,120.0,40.0,583
469,128_32.mat,-140.0,40.0,89
470,128_4.mat,-10.0,-70.0,325
471,128_8.mat,-70.0,0.0,218
472,1290_15.mat,-100.0,-50.0,156
473,1290_30.mat,90.0,-40.0,518
474,1292_17.mat,-20.0,-50.0,308
475,1292_19.mat,90.0,10.0,523
476,1292_34.mat,140.0,50.0,622
477,1292_38.mat,40.0,-0.0,427
478,1295_35.mat,20.0,-30.0,386
479,1295_37.mat,-110.0,-60.0,136
480,1296_16.mat,50.0,-40.0,442
481,1296_18.mat,-90.0,60.0,186
482,1296_24.mat,120.0,-40.0,575
483,1296_27.mat,50.0,-80.0,438
484,1296_36.mat,-90.0,50.0,185
485,1298_22.mat,70.0,40.0,488
486,129_3.mat,-180.0,60.0,15
487,12_1.mat,-90.0,50.0,185
488,12_12.mat,130.0,-30.0,595
489,12_2.mat,-130.0,20.0,106
490,12_3.mat,-140.0,10.0,86
491,12_4.mat,-0.0,-70.0,344
492,12_6.mat,-110.0,20.0,144
493,1300_13.mat,-80.0,30.0,202
494,1300_20.mat,-60.0,-20.0,235
495,1300_25.mat,60.0,60.0,471
496,1300_26.mat,-140.0,60.0,91
497,1302_14.mat,100.0,0.0,541
498,1302_21.mat,0.0,-60.0,345
499,1302_31.mat,90.0,30.0,525
500,1305_15.mat,30.0,0.0,408
501,1305_29.mat,-10.0,-40.0,328
502,1309_17.mat,-90.0,40.0,184
503,130_10.mat,100.0,20.0,543
504,130_13.mat,60.0,10.0,466
505,130_2.mat,70.0,-70.0,477
506,130_26.mat,120.0,-50.0,574
507,130_5.mat,-130.0,-60.0,98
508,1311_19.mat,-140.0,20.0,87
509,1311_23.mat,-100.0,-30.0,158
510,1312_16.mat,-60.0,-10.0,236
511,1312_32.mat,-160.0,70.0,54
512,1314_18.mat,90.0,-70.0,515
513,1316_14.mat,120.0,20.0,581
514,1316_28.mat,-100.0,60.0,167
515,1320_15.mat,-90.0,20.0,182
516,1320_20.mat,-100.0,-20.0,159
517,1320_22.mat,-60.0,10.0,238
518,1320_24.mat,-40.0,20.0,277
519,1320_30.mat,90.0,0.0,522
520,1320_33.mat,-100.0,-50.0,156
521,1320_40.mat,-110.0,50.0,147
522,1323_21.mat,110.0,10.0,561
523,1323_27.mat,-130.0,10.0,105
524,1325_25.mat,40.0,-20.0,425
525,1326_17.mat,-130.0,-10.0,103
526,1326_26.mat,-120.0,20.0,125
527,1326_34.mat,-20.0,60.0,319
528,1326_39.mat,70.0,-60.0,478
529,1328_16.mat,-100.0,40.0,165
530,132_11.mat,80.0,50.0,508
531,132_12.mat,-80.0,10.0,200
532,132_2.mat,-100.0,40.0,165
533,132_22.mat,30.0,60.0,414
534,132_3.mat,160.0,80.0,663
535,132_33.mat,-110.0,20.0,144
536,132_4.mat,-70.0,-60.0,212
537,132_6.mat,20.0,-80.0,381
538,1330_14.mat,-160.0,20.0,49
539,1330_19.mat,-50.0,40.0,260
540,1330_35.mat,160.0,50.0,660
541,1330_38.mat,-80.0,80.0,207
542,1332_18.mat,-40.0,-10.0,274
543,1332_36.mat,0.0,-20.0,349
544,1332_37.mat,-90.0,-60.0,174
545,1333_31.mat,70.0,70.0,491
546,1334_23.mat,-100.0,-10.0,160
547,1334_29.mat,-150.0,-60.0,60
548,1335_15.mat,-70.0,60.0,224
549,133_19.mat,-90.0,0.0,180
550,133_7.mat,-50.0,60.0,262
551,1340_20.mat,30.0,30.0,411
552,1342_22.mat,-60.0,40.0,241
553,1343_17.mat,130.0,50.0,603
554,1344_14.mat,80.0,60.0,509
555,1344_16.mat,-60.0,-30.0,234
556,1344_21.mat,100.0,60.0,547
557,1344_24.mat,60.0,-50.0,460
558,1344_28.mat,-60.0,40.0,241
559,1344_32.mat,-150.0,50.0,71
560,1349_19.mat,-120.0,-50.0,118
561,134_2.mat,90.0,10.0,523
562,1350_15.mat,-80.0,0.0,199
563,1350_18.mat,-60.0,40.0,241
564,1350_25.mat,50.0,10.0,447
565,1350_27.mat,-120.0,-10.0,122
566,1350_30.mat,-10.0,40.0,336
567,1352_26.mat,120.0,-20.0,577
568,1353_33.mat,80.0,40.0,507
569,1357_23.mat,-160.0,-30.0,44
570,1358_14.mat,-80.0,-30.0,196
571,135_15.mat,-50.0,-30.0,253
572,135_27.mat,120.0,-0.0,579
573,135_3.mat,-80.0,-10.0,198
574,135_5.mat,-10.0,-40.0,328
575,135_9.mat,-10.0,-10.0,331
576,1360_16.mat,-150.0,60.0,72
577,1360_17.mat,-150.0,50.0,71
578,1360_20.mat,-130.0,-0.0,104
579,1360_34.mat,-170.0,-40.0,24
580,1360_40.mat,-90.0,-40.0,176
581,1363_29.mat,-80.0,-20.0,197
582,1364_22.mat,90.0,-20.0,520
583,1364_31.mat,80.0,20.0,505
584,1365_15.mat,-90.0,40.0,184
585,1365_21.mat,120.0,70.0,586
586,1365_35.mat,50.0,-20.0,444
587,1365_39.mat,160.0,-60.0,649
588,1368_18.mat,40.0,50.0,432
589,1368_19.mat,-120.0,-40.0,119
590,1368_24.mat,100.0,-10.0,540
591,1368_36.mat,140.0,-60.0,611
592,1368_38.mat,40.0,-30.0,424
593,1369_37.mat,80.0,60.0,509
594,136_17.mat,90.0,20.0,524
595,136_2.mat,140.0,50.0,622
596,136_34.mat,150.0,0.0,636
597,136_4.mat,150.0,-10.0,635
598,136_8.mat,50.0,-0.0,446
599,1372_14.mat,-110.0,20.0,144
600,1372_28.mat,50.0,20.0,448
601,1375_25.mat,90.0,-60.0,516
602,1376_16.mat,-30.0,40.0,298
603,1376_32.mat,-150.0,40.0,70
604,1377_17.mat,70.0,-0.0,484
605,1377_27.mat,90.0,-20.0,520
606,1378_26.mat,90.0,0.0,522
607,1380_15.mat,-100.0,-10.0,160
608,1380_20.mat,-120.0,-30.0,120
609,1380_23.mat,-150.0,20.0,68
610,1380_30.mat,-130.0,60.0,110
611,1386_14.mat,-110.0,10.0,143
612,1386_18.mat,-50.0,-60.0,250
613,1386_21.mat,170.0,-70.0,667
614,1386_22.mat,-30.0,40.0,298
615,1386_33.mat,140.0,60.0,623
616,1387_19.mat,-160.0,-40.0,43
617,138_2.mat,90.0,-30.0,519
618,138_23.mat,170.0,-20.0,672
619,138_3.mat,-50.0,-30.0,253
620,138_6.mat,120.0,-30.0,576
621,1392_16.mat,-40.0,10.0,276
622,1392_24.mat,-30.0,70.0,301
623,1392_29.mat,-90.0,10.0,181
624,1394_17.mat,-130.0,-80.0,96
625,1394_34.mat,100.0,-40.0,537
626,1395_15.mat,-100.0,20.0,163
627,1395_31.mat,70.0,-70.0,477
628,13_1.mat,90.0,70.0,529
629,13_13.mat,-90.0,-0.0,180
630,1400_14.mat,90.0,-40.0,518
631,1400_20.mat,-40.0,20.0,277
632,1400_25.mat,70.0,50.0,489
633,1400_28.mat,-20.0,60.0,319
634,1400_35.mat,140.0,40.0,621
635,1400_40.mat,-90.0,20.0,182
636,1403_23.mat,170.0,30.0,677
637,1404_18.mat,-60.0,-20.0,235
638,1404_26.mat,90.0,-10.0,521
639,1404_27.mat,100.0,-0.0,541
640,1404_36.mat,120.0,60.0,585
641,1404_39.mat,90.0,50.0,527
642,1406_19.mat,-100.0,20.0,163
643,1406_37.mat,110.0,-30.0,557
644,1406_38.mat,-140.0,-0.0,85
645,1407_21.mat,-80.0,-80.0,191
646,1408_16.mat,-40.0,-50.0,270
647,1408_22.mat,80.0,-20.0,501
648,1408_32.mat,-80.0,10.0,200
649,140_10.mat,-180.0,-60.0,3
650,140_14.mat,-30.0,80.0,302
651,140_2.mat,-100.0,40.0,165
652,140_20.mat,-110.0,-50.0,137
653,140_28.mat,90.0,50.0,527
654,140_35.mat,160.0,-50.0,650
655,140_4.mat,-40.0,-80.0,267
656,140_5.mat,80.0,20.0,505
657,140_7.mat,90.0,40.0,526
658,1410_15.mat,30.0,50.0,413
659,1410_30.mat,100.0,-60.0,535
660,1411_17.mat,130.0,-60.0,592
661,1416_24.mat,-20.0,60.0,319
662,1419_33.mat,60.0,-50.0,460
663,141_3.mat,-40.0,-50.0,270
664,1420_20.mat,-30.0,-50.0,289
665,1421_29.mat,-20.0,-10.0,312
666,1422_18.mat,-50.0,-80.0,248
667,1424_16.mat,60.0,-40.0,461
668,1425_15.mat,80.0,-10.0,502
669,1425_19.mat,160.0,-40.0,651
670,1425_25.mat,90.0,-40.0,518
671,1426_23.mat,70.0,-0.0,484
